step,speed,steering,throttle,brake,lateral_g,longitudinal_g,checkpoint,reward
1,-0.0009703486575745046,-0.2840562164783478,0.0,0.004851743287872523,-9.703486575745046e-05,-0.0004851743287872523,0,-0.008287135408124868
2,0.5336423665867187,-0.08691093325614929,2.673063576221466,0.0,0.053364236658671876,0.2673063576221466,0,4.557120304444879
3,1.4557708651409484,-1.6255736351013184,4.610642492771149,0.0,0.14557708651409484,0.46106424927711487,0,12.70997639297235
4,1.3040105105028488,-0.5702080130577087,0.0,0.7588017731904984,0.13040105105028488,-0.07588017731904984,0,11.43776127187607
5,0.4437909126863815,-0.6342930197715759,0.0,4.301097989082336,0.04437909126863815,-0.43010979890823364,0,3.896833309057399
6,0.2029885352239944,-0.288771390914917,0.0,1.2040118873119354,0.020298853522399442,-0.12040118873119354,0,1.7823431888191976
7,-0.32860717171570286,1.952593445777893,0.0,2.6579785346984863,-0.03286071717157029,-0.26579785346984863,0,-2.903074561301082
8,-0.5527951269759797,0.03415039926767349,0.0,1.120939776301384,-0.05527951269759797,-0.1120939776301384,0,-4.88822848120293
9,-0.8531644492759369,0.3148643374443054,0.0,1.5018466114997864,-0.0853164449275937,-0.15018466114997864,0,-7.571835258234216
10,-1.758810177387204,0.33299726247787476,0.0,4.5282286405563354,-0.17588101773872042,-0.45282286405563354,0,-15.723763296986988
